cycle,SOH,capacity_fade_window,IR,Tavg,dQ_log_var,dQ_min,dQ_mean
11,0.9999785776076431,-0.003203211404530133,0.015360848,32.3807839959591,-4.496131621724617,-0.0001595413627278654,0.0053252743543314
16,1.0003776166442218,-0.0009827992283053903,0.015354162,32.461948728743806,-5.020650357476366,2.6518292843060706e-05,0.001926301015773667
21,1.000527949222165,-0.0005493716145219791,0.015345126,32.490940887674675,-6.070676245950996,-0.0005006132138967168,0.00032834946221964914
26,1.0005120703436199,-0.00013445369939823056,0.015372638,32.364785384297164,-6.0273155305925705,-0.0030747254367313737,-0.0009294614406543934
31,1.0003826903687274,0.0001452588534377572,0.015338987,32.548904945594686,-6.106755172202187,-0.0017253927682121528,-0.00029949364190560697
36,1.0005836662338654,-7.159589024543551e-05,0.015353026,32.545839587134495,-5.924735787310362,-0.0010483214453453904,0.0001132127924416646
41,1.0005568882434193,-0.00017419787469186867,0.015367503,32.456766252335456,-5.681610494055401,-0.004660952863362655,-0.0013984446628305298
46,1.0006496246524381,-6.595841857281135e-05,0.015360659,32.543395273580465,-6.342721710008731,-0.002260279576576707,-0.000850724278818854
51,1.0004892385833448,6.764966007441082e-05,0.015331501,32.702691515611356,-5.500727379764965,-0.000564529968431926,0.0005623226515018084
56,1.0005535057604156,9.611889202259199e-05,0.015318613,32.73761637816323,-6.07541757419234,-0.0012667940146972034,-0.00014651036987217472
61,1.000482849448782,6.389134562780283e-06,0.015356266,32.644851644060545,-5.831581195481319,-0.005228447891066024,-0.0016021100743187613
66,1.0003047993017804,0.00024870645863519873,0.01537307,32.49868942809791,-5.398851771494699,-0.006644464946793716,-0.0022054396326574937
71,1.0000592874104264,0.00042356203835553673,0.015395176,32.461799435716244,-5.4077128333056494,-0.007735156755826256,-0.0022055630699226382
76,0.9999251155846118,0.00037968371716854354,0.015391982,32.478836921405716,-5.811730047311141,-0.0040249651636652395,-0.0017552863258273846
81,0.999860848407541,0.00019843900288542523,0.015379372,32.583393526132305,-6.548847503825605,-0.0016192739540050738,-0.0007006663173400698
86,0.9998924182489092,3.269733570259713e-05,0.015330783,32.84450815447289,-5.266352421311815,-0.000205113322947037,0.0011826084261215507
91,0.999799118092723,6.173031481797812e-05,0.015404984,32.570358909698676,-6.188964422598875,-0.002281420516756838,-0.0009611205178826981
96,0.9994841713419315,0.0004082469069777856,0.015407627,32.50113183078677,-4.946052491958038,-0.014404743433379052,-0.0034151523515404945
101,0.9993612744594627,0.0004378436332603664,0.015419437,32.4366248386424,-5.64547897624525,-0.006047949080061343,-0.002027490590977846
106,0.9992439210908057,0.0002402502511257409,0.015404222,32.636310433441125,-6.46552739537483,-0.0013439972561287705,-0.0005003559047203491
111,0.9991828484810161,0.00017842597844649327,0.015354735,32.84788197349767,-5.377270742947143,-9.421902296402607e-05,0.0011517113607274808
116,0.9992030494211772,4.087166962845504e-05,0.015311617,33.092887015552364,-5.1381076974473014,3.1890909526128736e-05,0.001670037597641313
121,0.999135117887519,4.773059349716564e-05,0.015318899,33.02598768811211,-6.070168691795655,-0.0007712364300610508,4.8857834388363994e-05
126,0.9988781431370969,0.0003249062840803369,0.015349982,32.85384941527033,-5.456578890136755,-0.00676264650509556,-0.0022569626197963323
